COR-0001,Calories,250,3 Month,COA-0001,Full Body Strength Training
Exercises: Squats,Deadlifts,Push-ups,Pull-ups
Nutrition Plan: Protein shake,Chicken salad,Oatmeal,Fruits
Schedule:
Date: 17/10/2024 - Activities: Pull-ups, Push-ups
Date: 18/10/2024 - Activities: Squats, Push-ups
Date: 19/10/2024 - Activities: Deadlifts, Pull-ups

COR-0002,Yoga,250,3 Month,COA-0002,Yoga for Mind and Body Wellness
Exercises: Sun Salutation,Warrior Pose,Tree Pose,Bridge Pose
Nutrition Plan: Green smoothie,Salad,Almonds,Water
Schedule:
Date: 17/10/2024 - Activities: Bridge Pose,Warrior Pose
Date: 18/10/2024 - Activities: Sun Salutation,Warrior Pose
Date: 19/10/2024 - Activities: Tree Pose,Bridge Pose
